Event ID,Magnitude,DistanceRup (km),DistanceJB (km),Annual Rate,RSQSim 4860 10x ln(3.0s RotD50),ASK2014 ln(3.0s Median RotD50),ASK2014 3.0s Standard Deviation
6150,6.899098,166.68764,166.68764,3.7102993E-6,-4.546287,-5.051311,0.737039
6154,7.041236,104.07072,104.07072,3.7102993E-6,-3.6318872,-4.3978114,0.7343024
6158,7.7215986,151.1202,151.1202,3.7102993E-6,-1.7543331,-3.8181944,0.7343024
6162,7.029715,184.11386,183.61089,3.7102993E-6,-5.144453,-4.9509926,0.7343024
6164,7.4430647,159.47401,159.47401,3.7102993E-6,-4.2529926,-4.222115,0.7343024
6166,7.071196,205.11386,205.11386,3.7102993E-6,-5.08449,-4.997142,0.7343024
6171,6.8202825,103.79458,103.53046,3.7102993E-6,-4.560779,-4.693531,0.73919857
6181,6.923666,5.053275,5.053275,3.7102993E-6,-1.4599428,-2.3307369,0.7363698
6182,7.029813,46.901352,46.901352,3.7102993E-6,-1.9722227,-3.746733,0.7343024
6183,7.0375257,11.442819,11.442819,3.7102993E-6,-1.8584638,-2.7037456,0.7343024
6187,6.9848294,141.27124,141.27124,3.7102993E-6,-5.0229783,-4.7586684,0.7347118
6189,6.6997757,205.11386,205.11386,3.7102993E-6,-5.7383614,-5.63219,0.74253726
6191,7.3562713,101.27103,101.27103,3.7102993E-6,-2.7410064,-3.9617636,0.7343024
6194,6.8264832,152.14713,152.14713,3.7102993E-6,-4.123238,-5.0709105,0.739028
6197,7.8905773,11.380454,11.380454,3.7102993E-6,-1.1170263,-2.1584146,0.7343024
6200,7.3199954,123.45576,123.23377,3.7102993E-6,-4.3426414,-4.1526737,0.7343024
6201,7.1180925,103.79458,103.53046,3.7102993E-6,-3.5345118,-4.242635,0.7343024
6208,7.0175495,205.11386,205.11386,3.7102993E-6,-5.2424717,-5.0805507,0.7343024
6215,6.5672965,174.3056,174.3056,3.7102993E-6,-3.9831939,-5.7119384,0.7462583
6216,6.8523164,229.64651,229.64651,3.7102993E-6,-5.5868125,-5.4686813,0.7383185
6217,6.7879343,97.35818,97.35818,3.7102993E-6,-3.307143,-4.7024527,0.7400904
6218,7.039061,103.980865,103.980865,3.7102993E-6,-2.9969327,-4.4000263,0.7343024
6220,7.2644286,42.628426,42.628426,3.7102993E-6,-1.9433297,-3.4156096,0.7343024
6221,7.039923,36.734364,36.734364,3.7102993E-6,-2.9250112,-3.5436637,0.7343024
6226,6.6566596,205.11386,205.11386,3.7102993E-6,-5.479612,-5.7180233,0.74374247
6229,7.2372966,111.01835,111.01835,3.7102993E-6,-3.4388025,-4.189907,0.7343024
6235,7.0065136,199.62474,199.1812,3.7102993E-6,-5.402034,-5.0676904,0.7343024
6236,7.4811707,50.42456,50.42456,3.7102993E-6,-2.413574,-3.3093188,0.7343024
6243,7.0999303,205.11386,205.11386,3.7102993E-6,-4.7188764,-4.952874,0.7343024
6250,6.898363,95.85624,95.85624,3.7102993E-6,-4.0877686,-4.5216055,0.73705906
6251,7.1892653,230.15247,230.15247,3.7102993E-6,-4.1462145,-4.933875,0.7343024
